zona;código.x;Freq.x;personas;comuna;promedio_i;año;ingresos_expandidos;Freq.y;p;código.y;multipob;est_ing;ing_medio_zona;identificador
2101091007;02101;835;361873;Antofagasta;368221,356771735;2017;133249367039,058182;1884;5,20624639030820e-03;02101;693729036,157949448;720536706,610306740;382450,4812156617;region_02
2101091008;02101;1154;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2451;6,77309442815573e-03;02101;902510545,447523236;1022526026,919637561;417187,2814849603;region_02
2101091009;02101;886;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2064;5,70365846581536e-03;02101;760008880,376861811;768263669,000678301;372220,7698646697;region_02
2101091010;02101;1037;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2643;7,30366730869670e-03;02101;973209045,947696447;910852630,386405945;344628,3126698471;region_02
2101101001;02101;1694;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3814;1,05396091999127e-02;02101;1404396254,727398634;1548901943,128576994;406109,5813132084;region_02
2101101002;02101;713;361873;Antofagasta;368221,356771735;2017;133249367039,058182;1578;4,36064586194604e-03;02101;581053300,985798359;607359409,110941291;384891,8942401402;region_02
2101101003;02101;1187;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2526;6,98034945961705e-03;02101;930127147,205403447;1054195850,405639648;417338,0247053205;region_02
2101141001;02101;3004;361873;Antofagasta;368221,356771735;2017;133249367039,058182;7735;2,13749022447102e-02;02101;2848192194,629372597;2878518707,957825184;372142,0436920265;region_02
2101141002;02101;2433;361873;Antofagasta;368221,356771735;2017;133249367039,058182;6365;1,75890436700168e-02;02101;2343728935,852095604;2291494980,844737530;360014,9223636665;region_02
2101141003;02101;1167;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3005;8,30401826054997e-03;02101;1106505177,099064589;1034993287,542595387;344423,7229759053;region_02
2101141004;02101;1784;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4535;1,25320209023608e-02;02101;1669883852,959819794;1638117545,998504877;361216,6584340694;region_02
2101141005;02101;1574;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4116;1,13741561265969e-02;02101;1515599104,472462654;1430553509,563326597;347559,1617014885;region_02
2101141006;02101;2730;361873;Antofagasta;368221,356771735;2017;133249367039,058182;7236;1,99959654353876e-02;02101;2664449737,600276947;2595569792,553826809;358702,2930560844;region_02
2101141007;02101;1083;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2982;8,24046005090184e-03;02101;1098036085,893314838;954641519,704661489;320134,6477882835;region_02
2101141008;02101;1159;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2989;8,25980385383823e-03;02101;1100613635,390717030;1027319774,127932310;343700,1586242664;region_02
2101141009;02101;2569;361873;Antofagasta;368221,356771735;2017;133249367039,058182;6367;1,75945704708558e-02;02101;2344465378,565638542;2430378599,043994904;381714,8734166790;region_02
